country,date,bbcost1,bbcost2,bbcost3,bbcost4,bbcost5,bbcost1n,bbcost2n,bbcost3n,bbcost4n,bbcost5n
SWE,2014-07-01,,0.01,0.01,0.01,0.02,,0.03,0.08,0.07,0.05
CHE,2014-07-01,,0.01,0.01,0.01,0.02,,0.02,0.06,0.12,0.09
SYR,2014-07-01,0.09,0.27,,,,0.38,0.51,,,
TWN,2014-07-01,0,0.01,0.01,0.02,0.02,0,0.03,0.14,0.17,0.12
TJK,2014-07-01,1.23,2.73,2.66,,,0.71,0.84,0.87,,
TZA,2014-07-01,3.75,5.35,,,,0.85,0.94,,,
THA,2014-07-01,,,0.04,0.1,0.48,,,0.28,0.47,0.66
TUN,2014-07-01,0.05,0.05,0.09,0.13,,0.29,0.28,0.39,0.51,
UGA,2014-07-01,3.59,4.98,,,,0.84,0.93,,,
UKR,2014-07-01,0.03,0.04,0.04,0.06,0.04,0.24,0.24,0.28,0.39,0.24
ARE,2014-07-01,0.02,,0.02,0.03,0.19,0.18,,0.21,0.28,0.49
GBR,2014-07-01,,,,0.01,0.01,,,,0.01,0.02
USA,2014-07-01,,0.01,0.01,0.01,0.02,,0,0.1,0.13,0.11
UZB,2014-07-01,0.76,2.12,0.45,,,0.65,0.81,0.62,,
VEN,2014-07-01,0.01,0.06,0.11,,,0.12,0.3,0.42,,
VNM,2014-07-01,,0.04,0.14,,0.57,,0.22,0.45,,0.69
YEM,2014-07-01,0.51,0.9,,,,0.59,0.69,,,
ZMB,2014-07-01,0.86,,,,,0.66,,,,
ZWE,,,,,,,,,,,
