Date Began,Date Ended,Shutdown Source,News links,Continent,Country,Affected Scope ,Name of Affected Area,Shutdown Attribution,Shutdown Attribution Decision Maker,Shutdown Type ,Services Affected,Service Details ,Telcos Involved,Gov't Acknowledgement,Justification,Official Statement Text,Suspected Actual Cause ,Election related?,Legal Justifications ,Legal Method ,Telco Response ,Telco Acknowledgement ,Telco Statement Text,Economic Impact ,Event ,Access Now link,Notes 
7/20/2017,,News Media Article,https://lens.blogs.nytimes.com/2017/07/27/fighting-for-basic-rights-in-morocco/,Africa,Morocco,Local,Al Hoceima,,,,Internet&Telephony,,,,,,Protests ,No ,,,,,,,,,
7/21/2017,7/25/2017,News Media Article,http://www.greaterkashmir.com/news/kashmir/youth-clash-with-forces-in-beerwah-internet-suspended/255454.html,Asia,India ,Local,Budgam (Kashmir),Local Government,,,Internet,,,Yes ,Public Safety,,Protests,No,,,,,,,Clashes between protesters and government forces in central Kashmir. Youth tried to march towards the martyrs graveyard where a youth killed in army firing yesterday was laid to rest.,,
7/28/2017,8/12/2017,Confidential,,Asia,Syria ,National,nationwide,Executive Government,,Full network,Internet,,,,School Exams,,Political Instability,,,,,,,,,,
7/29/2017,7/29/2017,News Media Article,https://www.nknews.org/2017/04/north-korea-shut-down-cellphone-network-twice-on-saturday/,Asia,North Korea,Local,Pyongyang ,Executive Government,,,Internet&Telephony,3G,,No ,None,,Information Control,No,No,,,,,,Mass dance and fireworks event,,
7/30/2017,8/2/2017,News Media Article,http://www.greaterkashmir.com/news/kashmir/tahab-gunfight-internet-services-shut-in-pulwama-clashes-erupt/256187.html,Asia,India ,Regional,Kashmir ,Local Government,,,Internet,Mobile Internet ,,Yes ,Stopping Rumors and Dissemination of Illegal Content,,Political Instability,No,,,,,,,Killing of two militants in a shootout in Tahab village ,,
8/1/2017,,News Media Article,http://www.firstpost.com/india/abu-dujana-encounter-in-kashmirs-pulwama-1-killed-in-stone-pelting-mobile-internet-services-suspended-in-valley-3880623.html,Asia,India ,Regional,Kashmir ,Local Government,,Full network,Internet," 2G, 3G and 4G, Broadband slowed ",,Yes ,Stopping Rumors and Dissemination of Illegal Content,,Protests,No,,,,,,,Killing of top Lashkar-e-Taiba (LeT) commander Abu Dujana and his aide in Pulwama ,,
8/5/2017,,News Media Article,http://www.risingkashmir.com/news/amargrahencounter-cellular-mobile-internet-services--suspended--in-baramulla,Asia,India ,Local,Barmulla,Local Government ,,Full network,Internet&SMS&Telephony,Cellular and Mobile Internet ,,,,,Political Instability,No,,,,,,,Killing of three LeT militants,,
8/5/2017,,News Media Article,http://www.risingkashmir.com/news/amargrahencounter-cellular-network-internet-suspended-in-bandipora,Asia,India ,Local,Bandipora,Local Government,,,Internet,Cellular network and mobile internet services ,All except state-owned BSNL,Yes,Public Safety,,Protests,No,,,,,,,Killing of the local LeT militant Abid Hamid Mir,,
8/7/2017,,News Media Article,http://www.africanews.com/2017/08/08/drc-opposition-observes-national-shutdown-government-blocks-social-media//,Africa,DR Congo,National,nationwide ,Executive Government,Oscar Manikunda Musata (Post and Telecommunications Chief Regulator) ,,Internet,Social Media ,Orange ,No ,Stopping Rumors and Dissemination of Illegal Content,,Protests,No ,,Regulator order to Orange ,Yes,Orange ,,,Protests over Kabila's refusal to step down,"Mass protest against alleged marginalization by Francophone majority, on the occasion of the 56th anniversary of reunification of Cameroon.",
8/9/2017,,News Media Article,http://kashmirlife.net/tral-gunfight-cellular-internet-services-suspended-in-pulwama-district-147819/,Asia,India ,Local,Pulwama (Kashmir) ,Local Government,,Full network,Internet,Mobile internet ,All except state-owned BSNL,,Public Safety,,Protests,No,,,,,,,Killing of three militants at Gulab Bagh village of Tral township,,
8/11/2017,8/16/2017,News Media Article,http://www.greaterkashmir.com/news/kashmir/internet-services-snapped-in-pulwama-after-killing-of-let-commander-ayub-lelhari/257804.html,Asia,India ,Local,Pulwama (Kashmir) ,Local Government,,,Internet,Mobile Internet,,Yes,Stopping Rumors and Dissemination of Illegal Content,,Protests,No,,,,,,,Killing of Lashkar commander Ayub Lelhari,,
8/13/2017,,News Media Article,https://kashmirobserver.net/2017/local-news/3-militants-2-soldiers-killed-shopian-21849,Asia,India ,Local,Shopian (Kashmir),Local Government,,,Internet,,,,Stopping Rumors and Dissemination of Illegal Content,,Protests,No,,,,,,,Killing of two army men and three local Hizbul Mujahideen militants.,,
8/15/2017,8/15/2017,News Media Article,http://www.firstpost.com/india/ndependence-day-2017-all-kashmiri-markets-remain-closed-as-separatists-call-for-shutdown-3934099.html,Asia,India ,Regional,Kashmir ,Local Government,,Throttling,Internet&SMS&Telephony,Cellular and Internet,,Yes ,,,Protests,No,,,,,,,Independence Day/Kashmiri seperatist protests.,,
8/24/2017,8/29/2017,News Media Article,http://www.hindustantimes.com/punjab/mobile-internet-services-likely-to-resume-in-chandigarh-tonight/story-UGXVgdWetlRjEde4jBJQAN.html,Asia,India ,National,"Punjab, Haryana, and Chandigarh restroed after 72 hours) ",Local Government,,Full network,SMS&Internet,"2G, 3G, 4G, CDMA, SMS, dongle ",,Yes ,Public Safety,http://www.ndtv.com/india-news/haryana-punjab-suspend-mobile-internet-till-tuesday-1742656,,No,,,,,,,Court verdict in rape case against dera chief Gurmeet Ram Rahim.,,
8/26/2017,,Social Media,https://twitter.com/Muhannad_Munjed/status/901405293942329345,Asia,Iraq,National,nationwide,,,Throttling,Internet,,,,School Exams,,,No,,,,,,,,,
8/26/2017,,News Media Article,http://kashmirlife.net/dpl-pulwama-attack-internet-services-suspended-in-southern-kashmir-district-149117/,Asia,India ,Local,Pulwama (Kashmir) ,Local Government,,,Internet,,,Yes,,,Protests,No,,,,,,,‘Fidayeen’ attack by militants on police,,
